Date,All_sum_tot_postpan,All_sum_tot_prepan,Subways_sum_tot_postpan,Subways_sum_tot_prepan,Buses_sum_tot_postpan,Buses_sum_tot_prepan,LIRR_sum_tot_postpan,LIRR_sum_tot_prepan,Metro_North_sum_tot_postpan,Metro_North_sum_tot_prepan,Access_A_Ride_sum_tot_postpan,Access_A_Ride_sum_tot_prepan,Bridges_and_Tunnels_sum_tot_postpan,Bridges_and_Tunnels_sum_tot_prepan,Staten_Island_Railway_sum_tot_postpan,Staten_Island_Railway_sum_tot_prepan,All_perc_postpan_as_prepan,Subways_perc_postpan_as_prepan,Buses_perc_postpan_as_prepan,LIRR_perc_postpan_as_prepan,Metro_North_perc_postpan_as_prepan,Access_A_Ride_perc_postpan_as_prepan,Bridges_and_Tunnels_perc_postpan_as_prepan,Staten_Island_Railway_perc_postpan_as_prepan,All_pred,Subways_pred,Buses_pred,LIRR_pred,Metro_North_pred,Access_A_Ride_pred,Bridges_and_Tunnels_pred,Staten_Island_Railway_pred
2022-05-15,30827531,48040552.06363903,16960911,28554569.760687634,7249941,11400153.651866987,876478,1599433.8750768781,760307,1434739.794359039,119943,147001.96055194075,4827050,4817590.071301248,32901,87062.94979530275,64.0,59.0,64.0,55.0,53.0,82.0,100.0,38.0,28583834.297218315,15682562.697538102,6707776.723680148,810630.3535569218,704359.5015030582,115450.00618608842,4531857.099139152,31197.915614841975
2022-05-22,30129588,48127919.97718877,16288980,28679233.707796104,7231533,11369271.581474083,875549,1597693.69525873,757411,1434432.2893913612,120434,146874.63356524915,4823154,4813464.26051883,32527,86949.80918441445,63.0,57.0,64.0,55.0,53.0,82.0,100.0,37.0,28619096.649411265,15710953.924446166,6705161.046926185,814320.7104392218,707667.8674400594,115950.15369126455,4533806.359892104,31236.5865762619
2022-05-29,27734850,42164235.66993734,14887549,24845769.339454807,6511814,9663093.347821333,788400,1415387.7155820802,695510,1276580.628223972,109737,134216.87047232687,4712910,4759704.791409138,28930,69482.97697368421,66.0,60.0,67.0,56.0,54.0,82.0,99.0,42.0,28654359.00160421,15739345.151354227,6702545.370172222,818011.0673215218,710976.2333770606,116450.3011964407,4535755.620645056,31275.257537681824
2022-06-05,30413952,47135779.86895134,16650492,28124687.085922096,7117572,10719924.809008997,901264,1669051.3148148148,791008,1481297.565211867,124680,146333.84568946456,4795367,4913404.782103635,33569,81080.4662004662,65.0,59.0,66.0,54.0,53.0,85.0,98.0,41.0,28689621.35379716,15767736.378262289,6699929.693418259,821701.4242038217,714284.5993140617,116950.44870161686,4537704.881398006,31313.92849910175
2022-06-12,30849437,47140691.31801501,16847308,28081743.87001763,7207418,10757085.222715853,935446,1670568.5386377084,805280,1480304.4028043463,126167,146366.96195531296,4894025,4923375.784226776,33793,81246.53765739131,65.0,60.0,67.0,56.0,54.0,86.0,99.0,42.0,28724883.705990106,15796127.60517035,6697314.016664295,825391.7810861217,717592.9652510629,117450.596206793,4539654.142150958,31352.599460521673
2022-06-19,29158531,42429081.224410325,15861462,24952412.307082936,6560745,9690331.507398292,913223,1429932.9274984847,805467,1289820.4276290657,116213,135687.56751917506,4870537,4861834.404431333,30884,69062.08285104185,69.0,64.0,68.0,64.0,62.0,86.0,100.0,45.0,28760146.058183055,15824518.832078414,6694698.339910332,829082.1379684216,720901.3311880641,117950.74371196915,4541603.40290391,31391.270421941594
2022-06-26,28569786,46583635.6426862,15409318,27706377.429722257,6455155,10650436.190996902,906551,1639997.0523872678,769364,1465256.8534896565,120536,145262.14962367428,4877209,4898088.583261113,31653,78217.38320532997,61.0,56.0,61.0,55.0,53.0,83.0,100.0,40.0,28795408.410376,15852910.058986476,6692082.66315637,832772.4948507216,724209.6971250653,118450.8912171453,4543552.6636568615,31429.941383361518
2022-07-03,25421422,40419038.45794164,13495286,23463522.108573586,5849991,9417686.393849207,766455,1365139.6418531784,661902,1239805.3243309902,108375,130224.11664563681,4512794,4744088.822146565,26619,58572.050542474746,63.0,58.0,62.0,56.0,53.0,83.0,95.0,45.0,28830670.76256895,15881301.285894537,6689466.986402406,836462.8517330214,727518.0630620663,118951.03872232145,4545501.924409813,31468.612344781443
2022-07-10,28712486,44842912.9524838,15479049,26420422.281340875,6675605,10398581.57544964,872469,1586289.2652478823,787251,1415978.2837203213,123241,141982.73962101535,4743452,4810757.953024848,31419,68900.85407922034,64.0,59.0,64.0,55.0,56.0,87.0,99.0,46.0,28865933.114761896,15909692.5128026,6686851.309648443,840153.2086153214,730826.4289990675,119451.18622749759,4547451.185162765,31507.283306201367
2022-07-17,28105745,44751245.416207306,15131819,26355292.525609985,6509915,10367697.119462412,871509,1584632.984332489,738543,1414730.210342103,121427,141852.237491191,4702741,4818394.601789645,29791,68645.73717948717,63.0,57.0,63.0,55.0,52.0,86.0,98.0,43.0,28901195.466954846,15938083.739710663,6684235.63289448,843843.5654976214,734134.7949360687,119951.33373267374,4549400.445915717,31545.95426762129
2022-07-24,28306262,44682827.94942157,15220278,26327366.47120639,6543246,10353114.404661544,874955,1573616.5138059894,769171,1413889.8825022527,121214,141599.71262179094,4746607,4804191.645950364,30791,69049.31867323993,63.0,58.0,63.0,56.0,54.0,86.0,99.0,45.0,28936457.819147795,15966474.966618724,6681619.956140517,847533.9223799213,737443.1608730698,120451.48123784989,4551349.7066686675,31584.625229041216
2022-07-31,27785095,43796632.615738995,14804632,25705743.971236054,6538369,10092478.831855029,834340,1556382.484658199,732118,1366109.9114154507,123692,139615.32160947626,4723486,4869212.186407155,28458,67089.90855762595,63.0,58.0,65.0,54.0,54.0,89.0,97.0,42.0,28971720.17134074,15994866.193526786,6679004.279386554,851224.2792622213,740751.526810071,120951.62874302603,4553298.967421619,31623.296190461137
2022-08-07,27931054,43707566.92985704,14911107,25617214.16101391,6521195,10095254.85211306,863913,1565010.0964675841,720609,1365178.9947089946,124521,139908.90765169435,4760897,4858306.914431247,28812,66693.00347054855,64.0,58.0,65.0,55.0,53.0,89.0,98.0,43.0,29006982.52353369,16023257.420434847,6676388.602632591,854914.6361445212,744059.8927470722,121451.77624820218,4555248.228174571,31661.96715188106
