Date,All_sum_tot_postpan,All_sum_tot_prepan,Subways_sum_tot_postpan,Subways_sum_tot_prepan,Buses_sum_tot_postpan,Buses_sum_tot_prepan,LIRR_sum_tot_postpan,LIRR_sum_tot_prepan,Metro_North_sum_tot_postpan,Metro_North_sum_tot_prepan,Access_A_Ride_sum_tot_postpan,Access_A_Ride_sum_tot_prepan,Bridges_and_Tunnels_sum_tot_postpan,Bridges_and_Tunnels_sum_tot_prepan,Staten_Island_Railway_sum_tot_postpan,Staten_Island_Railway_sum_tot_prepan,All_perc_postpan_as_prepan,Subways_perc_postpan_as_prepan,Buses_perc_postpan_as_prepan,LIRR_perc_postpan_as_prepan,Metro_North_perc_postpan_as_prepan,Access_A_Ride_perc_postpan_as_prepan,Bridges_and_Tunnels_perc_postpan_as_prepan,Staten_Island_Railway_perc_postpan_as_prepan,All_pred,Subways_pred,Buses_pred,LIRR_pred,Metro_North_pred,Access_A_Ride_pred,Bridges_and_Tunnels_pred,Staten_Island_Railway_pred
2022-11-13,7698416,10215419.042340469,4044636,5670953.298887122,1510752,2304076.1305361306,172178,209221.23603871925,175946,254845.8126036484,31632,35664.27393785669,1760563,1734107.34808775,2709,6550.942249240122,75.0,71.0,66.0,82.0,69.0,89.0,102.0,41.0,7377152.542115134,3854357.8742035585,1437188.266904796,175983.9051171416,164284.72148061515,30155.798660787197,1711719.6775041753,3462.2982440612604
2022-11-20,6885081,10240954.976335123,3475836,5676062.308313156,1343738,2328557.717917675,185277,209804.56367162248,183365,253882.18500190333,25639,35926.47865256561,1667532,1730197.2168493445,3694,6524.505928853755,67.0,61.0,58.0,88.0,72.0,71.0,96.0,57.0,7388476.7830944145,3861937.8921043347,1437719.8204680397,176836.9718933898,164965.7816140096,30312.53854319778,1713222.730234494,3481.0482369489973
2022-11-27,7717274,10341214.87047026,4282166,5873181.661092531,1441822,2240724.0476190476,169111,236094.96904024767,170149,264749.96491228073,31303,35179.166666666664,1619990,1682973.4395178647,2733,8311.621621621622,75.0,73.0,64.0,72.0,64.0,89.0,96.0,33.0,7399801.024073694,3869517.910005111,1438251.3740312837,177690.038669638,165646.84174740405,30469.27842560836,1714725.7829648128,3499.798229836734
2022-12-04,8113200,10345834.733363505,4529072,5884953.921232877,1488190,2242217.3913043477,189749,233745.0498132005,194131,265349.92372234934,31181,35064.51367781155,1677901,1676128.1112444978,2976,8375.822368421053,78.0,77.0,66.0,81.0,73.0,89.0,100.0,36.0,7411125.265052973,3877097.927905887,1438782.9275945274,178543.1054458862,166327.90188079848,30626.018308018945,1716228.8356951317,3518.548222724471
2022-12-11,8323336,10326829.307680972,4544970,5859638.511488512,1553277,2247076.134453782,201418,234671.11537407507,210711,265991.0731244065,32824,35124.99427262314,1776578,1676016.9811320757,3558,8310.497835497836,81.0,78.0,69.0,86.0,79.0,93.0,106.0,43.0,7422449.506032253,3884677.9458066626,1439314.4811577713,179396.17222213442,167008.96201419295,30782.75819042953,1717731.8884254503,3537.298215612208
2022-12-18,4965595,10279167.705950864,2419921,5803616.046511628,818374,2248159.4405594403,113597,234453.95408163266,107827,266726.3157894737,26468,35045.78799578799,1477099,1682800.7763975156,2309,8365.384615384615,48.0,42.0,36.0,48.0,40.0,76.0,88.0,28.0,7433773.747011533,3892257.9637074387,1439846.034721015,180249.2389983826,167690.02214758738,30939.498072840113,1719234.9411557692,3556.048208499945
2022-12-25,6479278,9666669.387579909,3602608,5416971.681034483,1126700,2191296.153846154,149312,210072.17987804877,147507,246984.24657534246,25566,30684.103299856528,1423967,1562944.5156695156,3618,7716.507276507276,67.0,67.0,51.0,71.0,60.0,83.0,91.0,47.0,7445097.987990812,3899837.981608215,1440377.588284259,181102.3057746308,168371.08228098182,31096.237955250697,1720737.993886088,3574.7982013876817
2023-01-01,7050531,8815247.913922753,3726902,4804898.734598734,1435593,2128878.665496049,155862,179612.78447121818,150137,219286.7424242424,29985,28070.2906162465,1548226,1447668.5534591195,3826,6832.142857142857,80.0,78.0,67.0,87.0,68.0,107.0,107.0,56.0,7456422.228970092,3907417.999508991,1440909.1418475027,181955.37255087902,169052.14241437629,31252.97783766128,1722241.0466164069,3593.5481942754186
2023-01-08,7106370,8758475.04144207,3778191,4771660.468799493,1406993,2104131.9518716577,157197,179739.5114942529,154058,220945.95352564103,30605,27984.463182501255,1575757,1447149.2380230697,3569,6863.454545454546,81.0,79.0,67.0,87.0,70.0,109.0,109.0,52.0,7467746.469949371,3914998.017409767,1441440.6954107466,182808.4393271272,169733.20254777072,31409.71772007186,1723744.0993467255,3612.2981871631555
2023-01-15,7069669,8791947.61281408,3730555,4801837.741505662,1434387,2105261.3238157043,153318,180364.65201465203,146491,221181.08597285068,30301,28066.252250707366,1571080,1448381.6683656133,3537,6854.888888888889,80.0,78.0,68.0,85.0,66.0,108.0,108.0,52.0,7479070.710928651,3922578.035310543,1441972.2489739903,183661.5061033754,170414.2626811652,31566.457602482446,1725247.1520770444,3631.0481800508924
