Date,All_sum_tot_postpan,All_sum_tot_prepan,Subways_sum_tot_postpan,Subways_sum_tot_prepan,Buses_sum_tot_postpan,Buses_sum_tot_prepan,LIRR_sum_tot_postpan,LIRR_sum_tot_prepan,Metro_North_sum_tot_postpan,Metro_North_sum_tot_prepan,Access_A_Ride_sum_tot_postpan,Access_A_Ride_sum_tot_prepan,Bridges_and_Tunnels_sum_tot_postpan,Bridges_and_Tunnels_sum_tot_prepan,Staten_Island_Railway_sum_tot_postpan,Staten_Island_Railway_sum_tot_prepan
2022-01-09,28144163,52058639.63384393,14720396,30465874.258214734,6802346,12306746.096131556,650569,1683673.0869048794,517348,1559969.7972370766,112186,169325.37865011318,5314190,5783835.038369856,27128,89215.97833571694
2022-01-16,28121205,47472097.01746187,14723854,27577489.350827478,6721423,11191488.565523004,679755,1467997.1794272386,517379,1385787.3773519616,106856,154422.2221335878,5346103,5619930.942992354,25835,74981.37920624818
2022-01-23,28899031,52081499.39306606,15640082,30437794.319034092,7035812,12336047.937553875,666819,1703776.084298376,554807,1559510.9334039923,114114,169618.94489423453,4859037,5785838.246710628,28360,88912.92717086835
2022-01-30,31397032,54274485.23759194,16907592,31874252.50340136,7347200,12889322.867879892,765035,1682200.0196904545,640412,1568551.6850781639,124064,179261.9442418756,5582893,5992601.713776351,29836,88294.50352384015
2022-02-06,34178448,54701165.28148562,18393786,32141482.82284003,8209062,13024752.324064825,818124,1690309.884817475,690417,1571139.6559401362,136988,180421.47964207747,5896260,6004801.980630433,33811,88257.13355063794
2022-02-13,34118940,54811155.07605593,18372208,32257859.435390353,8008877,13030705.854854573,819885,1687695.6519370114,696775,1566164.6079023576,134618,180191.74869597802,6052161,6000403.314806908,34416,88134.46246874818
2022-02-20,30475226,49788863.84150988,16167856,29007773.48642973,6869187,11814369.931037918,767367,1457432.268219723,610369,1388946.4555842623,119711,167927.31089288674,5912114,5877830.76873139,28622,74583.62061396775
2022-02-27,35432073,56350578.60689105,18947201,33008886.815160014,8473237,13467819.342104275,880354,1747904.0022008559,791254,1604006.862924657,141609,182741.91726354486,6162766,6251010.432842192,35652,88209.23439551258
2022-03-06,35181432,56677827.515923426,19017570,33203905.888433505,8314826,13542316.34301873,900511,1759781.358438024,790604,1609871.0699165165,140415,183157.8902500012,5981886,6290982.507820817,35620,87812.45804583014
2022-03-13,36578379,56631269.48380993,19726770,33181945.832405694,8540698,13507329.747385232,971827,1760469.9065343768,837011,1607247.9501133787,144635,183034.93196498873,6319898,6302936.993875623,37540,88304.12153064327
2022-03-20,36275282,56534290.03656112,19577210,33069323.584386658,8512425,13561552.744020727,952696,1756949.629420085,817294,1606843.29662339,142040,183076.02815475044,6237284,6268557.893142767,36333,87986.860812741
2022-03-27,36538906,56960349.734794915,19770439,33412820.704468437,8580229,13446803.725483874,926671,1767689.8977558592,812363,1643746.1093893822,146369,183219.67817293276,6266154,6417354.795267955,36681,88714.8242564749
2022-04-03,37393945,57066099.081753716,20348642,33590931.68412465,8695631,13280163.403771687,960458,1757339.054780577,863164,1685276.7257750703,150221,179798.40457984823,6342438,6481205.551593776,33391,91384.25712811327
2022-04-10,36012951,56950464.285162635,19062929,33478937.76931246,8429332,13274110.828854889,986156,1758094.2359527266,876617,1688509.4704804998,148800,180440.8090606194,6474189,6480840.726929186,34928,89530.44457224861
2022-04-17,34466584,56931290.402206734,18520584,33426301.31390004,7542208,13298445.742740657,962443,1760005.5326348161,896868,1685003.3839432476,138739,180140.9239827537,6377455,6490848.976919725,28287,90544.5280854935
2022-04-24,37555145,56901482.57135685,20195751,33454279.92471501,8828139,13251720.981212169,984114,1766654.0611701629,874523,1687579.1975993752,146340,178750.2005009463,6488547,6472726.79583068,37731,89771.41032850051
2022-05-01,36382941,58236941.965163015,19618628,34137507.62166323,8356724,13711384.787081791,968417,1807540.753354948,850266,1693757.047150538,149559,181124.83055458055,6404013,6610588.016184952,35334,95038.90917296952
2022-05-08,38153550,58301874.08376554,20559297,34198238.5605008,8887934,13713240.973900918,1017699,1811047.9289871587,901985,1687336.7654094307,147360,181181.2355495083,6605386,6613280.115734922,33889,97548.50368279949
2022-05-15,38753570,58334043.17989071,21045794,34161928.35678373,8817236,13765678.914554222,1049435,1814416.6219904583,924922,1690903.5149577563,148207,181250.4574573342,6730682,6624421.885396897,37294,95443.42875031
2022-05-22,37334007,58450447.96692916,19916991,34312588.998301536,8720841,13737166.46894962,1051583,1813653.062328442,911585,1689818.881866189,147729,181225.74644283263,6548284,6620674.572505694,36994,95320.2365348418
2022-05-29,35423705,52894305.23917814,18790556,30662356.41610365,8108081,12135514.790129025,957506,1636602.4626770904,861714,1544375.3036803615,138101,169700.4880595589,6535612,6667262.007903983,32135,78493.77062447785
